site,site_name,date,dyear/time,date time,visibility,conditions,notes,Report_Year,Report_Time_Local_String,Full_Local_Timestamp_String,DateTime_Local_Naive,DateTime_WAT,DateTime_UTC,Date_UTC,Time_UTC,report_id,weather_date_utc,airTemperature_2day_roll_avg,waterTemperature_2day_roll_avg,windSpeed_2day_roll_avg,windDirection_2day_roll_avg,waveHeight_2day_roll_avg,wavePeriod_2day_roll_avg,waveDirection_2day_roll_avg,swellHeight_2day_roll_avg,swellPeriod_2day_roll_avg,swellDirection_2day_roll_avg,cloudCover_2day_roll_avg,humidity_2day_roll_avg,precipitation_2day_roll_avg,atmospheric_atmospheric_visibility_km_km_2day_roll_avg,pressure_2day_roll_avg,gust_2day_roll_avg,seaLevel_2day_roll_avg,airTemperature_3day_roll_avg,waterTemperature_3day_roll_avg,windSpeed_3day_roll_avg,windDirection_3day_roll_avg,waveHeight_3day_roll_avg,wavePeriod_3day_roll_avg,waveDirection_3day_roll_avg,swellHeight_3day_roll_avg,swellPeriod_3day_roll_avg,swellDirection_3day_roll_avg,cloudCover_3day_roll_avg,humidity_3day_roll_avg,precipitation_3day_roll_avg,atmospheric_atmospheric_visibility_km_km_3day_roll_avg,pressure_3day_roll_avg,gust_3day_roll_avg,seaLevel_3day_roll_avg,airTemperature_4day_roll_avg,waterTemperature_4day_roll_avg,windSpeed_4day_roll_avg,windDirection_4day_roll_avg,waveHeight_4day_roll_avg,wavePeriod_4day_roll_avg,waveDirection_4day_roll_avg,swellHeight_4day_roll_avg,swellPeriod_4day_roll_avg,swellDirection_4day_roll_avg,cloudCover_4day_roll_avg,humidity_4day_roll_avg,precipitation_4day_roll_avg,atmospheric_atmospheric_visibility_km_km_4day_roll_avg,pressure_4day_roll_avg,gust_4day_roll_avg,seaLevel_4day_roll_avg,precipitation_sum_last_24h,precipitation_sum_last_48h
KGT,Kwinana Grain Terminal,Aug. 14,"2023, 11 a.m.",14-Aug-23   11 a.m.,4,Fair,15.6C. Not many fish about but lots of warty sea cucumbers,2023,11 AM,Aug 14 2023 11 AM,2023-08-14 11:00:00,2023-08-14 11:00:00+08:00,2023-08-14 03:00:00+00:00,2023-08-14,03:00:00,252,2023-08-14,17.329166666666666,19.775,6.501666666666666,303.02,2.0504166666666666,10.3825,242.97375,1.9366666666666663,11.164583333333333,237.91583333333327,81.77499999999999,65.35833333333333,6.18,21.34875,1017.8945833333332,8.729166666666666,0.305,17.329166666666666,19.775,6.501666666666666,303.02,2.0504166666666666,10.3825,242.97375,1.9366666666666663,11.164583333333333,237.91583333333327,81.77499999999999,65.35833333333333,6.18,21.34875,1017.8945833333332,8.729166666666666,0.305,17.329166666666666,19.775,6.501666666666666,303.02,2.0504166666666666,10.3825,242.97375,1.9366666666666663,11.164583333333333,237.91583333333327,81.77499999999999,65.35833333333333,6.18,21.34875,1017.8945833333332,8.729166666666666,0.305,0.6300000000000001,0.6900000000000001
WOO,Woodman Point,Aug. 12,"2023, 11 p.m.",12-Aug-23   11 p.m.,4,Fair,"Moderate surge on the bottom, only dove north side.",2023,11 PM,Aug 12 2023 11 PM,2023-08-12 23:00:00,2023-08-12 23:00:00+08:00,2023-08-12 15:00:00+00:00,2023-08-12,15:00:00,253,2023-08-12,15.701666666666666,19.804583333333333,3.9766666666666666,99.07458333333334,1.8558333333333328,13.2575,228.1291666666667,1.84625,13.366666666666667,228.45666666666668,33.362500000000004,62.8,0.09,24.136666666666667,1018.1716666666666,4.437083333333333,0.2991666666666666,15.701666666666666,19.804583333333333,3.9766666666666666,99.07458333333334,1.8558333333333328,13.2575,228.1291666666667,1.84625,13.366666666666667,228.45666666666668,33.362500000000004,62.8,0.09,24.136666666666667,1018.1716666666666,4.437083333333333,0.2991666666666666,15.701666666666666,19.804583333333333,3.9766666666666666,99.07458333333334,1.8558333333333328,13.2575,228.1291666666667,1.84625,13.366666666666667,228.45666666666668,33.362500000000004,62.8,0.09,24.136666666666667,1018.1716666666666,4.437083333333333,0.2991666666666666,0.09,0.15
BUL,Bulk Jetty,July 29,"2023, 7 p.m.",29-Jul-23   7 p.m.,4,Fair,"15C, 3-4m. Mild surge.",2023,7 PM,July 29 2023 7 PM,2023-07-29 19:00:00,2023-07-29 19:00:00+08:00,2023-07-29 11:00:00+00:00,2023-07-29,11:00:00,254,2023-07-29,14.649583333333332,18.17,4.843333333333333,246.5545833333333,2.5025,11.117083333333332,241.11666666666667,2.475,11.258333333333333,240.91125,92.8,79.42916666666666,1.75,24.1325,1022.2925,5.10875,0.3275,14.649583333333332,18.17,4.843333333333333,246.5545833333333,2.5025,11.117083333333332,241.11666666666667,2.475,11.258333333333333,240.91125,92.8,79.42916666666666,1.75,24.1325,1022.2925,5.10875,0.3275,14.649583333333332,18.17,4.843333333333333,246.5545833333333,2.5025,11.117083333333332,241.11666666666667,2.475,11.258333333333333,240.91125,92.8,79.42916666666666,1.75,24.1325,1022.2925,5.10875,0.3275,4.67,9.24
BUL,Bulk Jetty,July 20,"2023, 7 p.m.",20-Jul-23   7 p.m.,3,Fair,"Strong current and surge. Milky 1m vis in close, better once we got out, but still not great.",2023,7 PM,July 20 2023 7 PM,2023-07-20 19:00:00,2023-07-20 19:00:00+08:00,2023-07-20 11:00:00+00:00,2023-07-20,11:00:00,255,2023-07-20,12.195,17.868333333333332,5.659583333333334,288.4841666666667,2.8683333333333336,12.367083333333332,247.14041666666665,2.8183333333333334,12.664583333333333,245.70833333333331,74.42083333333333,71.27083333333333,1.73,23.94541666666667,1024.80625,5.117083333333333,0.2925,12.195,17.868333333333332,5.659583333333334,288.4841666666667,2.8683333333333336,12.367083333333332,247.14041666666665,2.8183333333333334,12.664583333333333,245.70833333333331,74.42083333333333,71.27083333333333,1.73,23.94541666666667,1024.80625,5.117083333333333,0.2925,12.195,17.868333333333332,5.659583333333334,288.4841666666667,2.8683333333333336,12.367083333333332,247.14041666666665,2.8183333333333334,12.664583333333333,245.70833333333331,74.42083333333333,71.27083333333333,1.73,23.94541666666667,1024.80625,5.117083333333333,0.2925,0.61,20.36
MET,Mettam’s Pool,July 15,"2023, 1 p.m.",15-Jul-23   1 p.m.,3,Fair,Surf's up!,2023,1 PM,July 15 2023 1 PM,2023-07-15 13:00:00,2023-07-15 13:00:00+08:00,2023-07-15 05:00:00+00:00,2023-07-15,05:00:00,256,2023-07-15,10.425416666666669,18.442083333333333,5.183333333333334,40.65208333333333,2.37125,11.815,231.2925,2.3375,12.090000000000002,230.37375,0.0,51.083333333333336,0.0,24.14,1028.0741666666663,3.8054166666666656,0.2816666666666667,10.425416666666669,18.442083333333333,5.183333333333334,40.65208333333333,2.37125,11.815,231.2925,2.3375,12.090000000000002,230.37375,0.0,51.083333333333336,0.0,24.14,1028.0741666666663,3.8054166666666656,0.2816666666666667,10.425416666666669,18.442083333333333,5.183333333333334,40.65208333333333,2.37125,11.815,231.2925,2.3375,12.090000000000002,230.37375,0.0,51.083333333333336,0.0,24.14,1028.0741666666663,3.8054166666666656,0.2816666666666667,0.0,2.84
AMJ,Ammo Jetty,July 2,"2023, 10 a.m.",2-Jul-23   10 a.m.,4,Windy,"1m surface waves. 14C Some clear spots, some murky spots. Most wildlife off the end of the jetty.",2023,10 AM,July 2 2023 10 AM,2023-07-02 10:00:00,2023-07-02 10:00:00+08:00,2023-07-02 02:00:00+00:00,2023-07-02,02:00:00,257,2023-07-02,13.144166666666663,18.055416666666662,8.60125,192.4375,1.7474999999999998,7.045833333333333,308.1033333333333,1.3633333333333333,8.799166666666666,301.29541666666665,26.666666666666668,47.833333333333336,0.39,24.124166666666667,1020.2825,10.15625,0.4495833333333334,13.144166666666663,18.055416666666662,8.60125,192.4375,1.7474999999999998,7.045833333333333,308.1033333333333,1.3633333333333333,8.799166666666666,301.29541666666665,26.666666666666668,47.833333333333336,0.39,24.124166666666667,1020.2825,10.15625,0.4495833333333334,13.144166666666663,18.055416666666662,8.60125,192.4375,1.7474999999999998,7.045833333333333,308.1033333333333,1.3633333333333333,8.799166666666666,301.29541666666665,26.666666666666668,47.833333333333336,0.39,24.124166666666667,1020.2825,10.15625,0.4495833333333334,0.0,0.0
AMJ,Ammo Jetty,July 1,"2023, 7 p.m.",1-Jul-23   7 p.m.,4,Glassy,"14C, 4-5m vis in the shallows, drops off further out. Lots of activity, >15 nudi species in 1hr.",2023,7 PM,July 1 2023 7 PM,2023-07-01 19:00:00,2023-07-01 19:00:00+08:00,2023-07-01 11:00:00+00:00,2023-07-01,11:00:00,258,2023-07-01,11.347499999999998,18.984583333333333,7.030833333333334,32.20666666666667,1.0075,7.312083333333334,252.475,0.7712499999999999,9.904166666666669,273.96875,0.0,50.72916666666666,0.0,24.135416666666668,1027.3658333333333,8.500416666666666,0.3945833333333333,11.347499999999998,18.984583333333333,7.030833333333334,32.20666666666667,1.0075,7.312083333333334,252.475,0.7712499999999999,9.904166666666669,273.96875,0.0,50.72916666666666,0.0,24.135416666666668,1027.3658333333333,8.500416666666666,0.3945833333333333,11.347499999999998,18.984583333333333,7.030833333333334,32.20666666666667,1.0075,7.312083333333334,252.475,0.7712499999999999,9.904166666666669,273.96875,0.0,50.72916666666666,0.0,24.135416666666668,1027.3658333333333,8.500416666666666,0.3945833333333333,0.0,0.0
AMJ,Ammo Jetty,July 1,"2023, 9 a.m.",1-Jul-23   9 a.m.,4,Fair,13 deg.... 3-4m vis,2023,9 AM,July 1 2023 9 AM,2023-07-01 09:00:00,2023-07-01 09:00:00+08:00,2023-07-01 01:00:00+00:00,2023-07-01,01:00:00,259,2023-07-01,11.347499999999998,18.984583333333333,7.030833333333334,32.20666666666667,1.0075,7.312083333333334,252.475,0.7712499999999999,9.904166666666669,273.96875,0.0,50.72916666666666,0.0,24.135416666666668,1027.3658333333333,8.500416666666666,0.3945833333333333,11.347499999999998,18.984583333333333,7.030833333333334,32.20666666666667,1.0075,7.312083333333334,252.475,0.7712499999999999,9.904166666666669,273.96875,0.0,50.72916666666666,0.0,24.135416666666668,1027.3658333333333,8.500416666666666,0.3945833333333333,11.347499999999998,18.984583333333333,7.030833333333334,32.20666666666667,1.0075,7.312083333333334,252.475,0.7712499999999999,9.904166666666669,273.96875,0.0,50.72916666666666,0.0,24.135416666666668,1027.3658333333333,8.500416666666666,0.3945833333333333,0.0,0.0
FRE,South Fremantle,June 29,"2023, 7 p.m.",29-Jun-23   7 p.m.,3,Glassy,"15C, milky visibility. Slight surge. Plenty of slugs to look at and calm conditions.",2023,7 PM,June 29 2023 7 PM,2023-06-29 19:00:00,2023-06-29 19:00:00+08:00,2023-06-29 11:00:00+00:00,2023-06-29,11:00:00,260,2023-06-29,14.402083333333332,18.035833333333333,4.507083333333333,83.82166666666667,1.2695833333333333,10.959583333333336,223.39791666666667,1.23375,11.449583333333337,225.5125,0.6416666666666666,57.2625,0.0,24.13416666666667,1031.5254166666666,4.9887500000000005,0.2804166666666667,14.402083333333332,18.035833333333333,4.507083333333333,83.82166666666667,1.2695833333333333,10.959583333333336,223.39791666666667,1.23375,11.449583333333337,225.5125,0.6416666666666666,57.2625,0.0,24.13416666666667,1031.5254166666666,4.9887500000000005,0.2804166666666667,14.402083333333332,18.035833333333333,4.507083333333333,83.82166666666667,1.2695833333333333,10.959583333333336,223.39791666666667,1.23375,11.449583333333337,225.5125,0.6416666666666666,57.2625,0.0,24.13416666666667,1031.5254166666666,4.9887500000000005,0.2804166666666667,0.0,0.22
SCR,South Cottesloe Reef,June 29,"2023, 10 a.m.",29-Jun-23   10 a.m.,4,Fair,"15C, slight surge but otherwise excellent conditions. Disappointing that the vis hasn't cleared.",2023,10 AM,June 29 2023 10 AM,2023-06-29 10:00:00,2023-06-29 10:00:00+08:00,2023-06-29 02:00:00+00:00,2023-06-29,02:00:00,261,2023-06-29,14.402083333333332,18.035833333333333,4.507083333333333,83.82166666666667,1.2695833333333333,10.959583333333336,223.39791666666667,1.23375,11.449583333333337,225.5125,0.6416666666666666,57.2625,0.0,24.13416666666667,1031.5254166666666,4.9887500000000005,0.2804166666666667,14.402083333333332,18.035833333333333,4.507083333333333,83.82166666666667,1.2695833333333333,10.959583333333336,223.39791666666667,1.23375,11.449583333333337,225.5125,0.6416666666666666,57.2625,0.0,24.13416666666667,1031.5254166666666,4.9887500000000005,0.2804166666666667,14.402083333333332,18.035833333333333,4.507083333333333,83.82166666666667,1.2695833333333333,10.959583333333336,223.39791666666667,1.23375,11.449583333333337,225.5125,0.6416666666666666,57.2625,0.0,24.13416666666667,1031.5254166666666,4.9887500000000005,0.2804166666666667,0.03,0.22
CMB,The Coombe & Mosman Bay,June 25,"2023, 6 p.m.",25-Jun-23   6 p.m.,3,Glassy,Tannin (1m vis) and 14C in top 2m. Vis opens to 3m beyond thermo/halocline. Less life than last time,2023,6 PM,June 25 2023 6 PM,2023-06-25 18:00:00,2023-06-25 18:00:00+08:00,2023-06-25 10:00:00+00:00,2023-06-25,10:00:00,262,2023-06-25,9.792083333333332,18.39583333333333,5.254583333333334,140.73166666666663,1.9016666666666664,10.242916666666668,218.55416666666667,1.8716666666666668,10.465,219.9958333333333,40.17083333333333,74.77499999999999,2.08,23.42958333333333,1017.34625,6.756666666666667,0.3291666666666666,9.792083333333332,18.39583333333333,5.254583333333334,140.73166666666663,1.9016666666666664,10.242916666666668,218.55416666666667,1.8716666666666668,10.465,219.9958333333333,40.17083333333333,74.77499999999999,2.08,23.42958333333333,1017.34625,6.756666666666667,0.3291666666666666,9.792083333333332,18.39583333333333,5.254583333333334,140.73166666666663,1.9016666666666664,10.242916666666668,218.55416666666667,1.8716666666666668,10.465,219.9958333333333,40.17083333333333,74.77499999999999,2.08,23.42958333333333,1017.34625,6.756666666666667,0.3291666666666666,4.76,7.0200000000000005
KGT,Kwinana Grain Terminal,June 21,"2023, 7 p.m.",21-Jun-23   7 p.m.,3,Glassy,"16C. Current flowing from the south, shark fishermen burleying up the water on the beach...",2023,7 PM,June 21 2023 7 PM,2023-06-21 19:00:00,2023-06-21 19:00:00+08:00,2023-06-21 11:00:00+00:00,2023-06-21,11:00:00,263,2023-06-21,15.615,18.914583333333333,6.75875,190.11125,2.2691666666666666,10.30125,227.21375,2.1945833333333336,10.730833333333337,229.40583333333333,86.52083333333333,62.958333333333336,2.48,23.232083333333332,1019.4233333333332,10.704583333333334,0.3145833333333333,15.615,18.914583333333333,6.75875,190.11125,2.2691666666666666,10.30125,227.21375,2.1945833333333336,10.730833333333337,229.40583333333333,86.52083333333333,62.958333333333336,2.48,23.232083333333332,1019.4233333333332,10.704583333333334,0.3145833333333333,15.615,18.914583333333333,6.75875,190.11125,2.2691666666666666,10.30125,227.21375,2.1945833333333336,10.730833333333337,229.40583333333333,86.52083333333333,62.958333333333336,2.48,23.232083333333332,1019.4233333333332,10.704583333333334,0.3145833333333333,4.34,16.39
